Body;Model;Last TP;Engine;Color;SFX;Transmission;PPO;Seq;Comment;Welding;Seq
11412;831W;B0;MXAA54L-RNXMBX;089;52;CVT; ;   ;  ;;
11413;831W;B0;AXAA54L-RNZGBX;4X7;88;8AT; ;   ;  ;;
11414;664W;B0;ASV70L-RETNKX ;218;B5;   ; ;   ;  ;;
11415;831W;B0;MXAA54L-RNXMBX;2PS;53;CVT; ;   ;  ;;
11416;664W;B0;ASV70L-RETNKX ;089;BX;   ; ;   ;  ;;
11417;831W;B0;AXAA54L-RNZMBX;218;52;8AT; ;   ;  ;;
11418;664W;B0;ASV71L-RETNHX ;040;A3;   ; ;   ;  ;;
11419;831W;B0;MXAA54L-RNXGBX;218;85;CVT; ;   ;  ;;
11420;831W;B0;MXAA52L-RNFXBX;089;20;6MT; ;   ;  ;;
11421;664W;B0;ASV70L-RETNKX ;218;B3;   ; ;   ;  ;;
11422;831W;B0;MXAA54L-RNXMBX;089;52;CVT; ;   ;  ;;
11423;664W;B0;ASV70L-RETNKX ;221;BX;   ; ;   ;  ;;
11424;831W;B0;AXAA54L-RNZMBX;1F7;56;8AT; ;   ;  ;;
11425;664W;B0;ASV70L-RETNKX ;089;B5;   ; ;   ;  ;;
11426;831W;B0;MXAA54L-RNXMBX;2PS;53;CVT; ;   ;  ;;
11427;831W;B0;AXAA54L-RNZGBX;089;87;8AT; ;   ;  ;;
11428;664W;B0;ASV70L-RETNKX ;218;S2;   ; ;   ;  ;;
11429;831W;B0;MXAA54L-RNXMBX;089;52;CVT; ;   ;  ;;
11430;664W;B0;ASV70L-RETNKX ;218;B4;   ; ;   ;  ;;
11431;831W;B0;MXAA54L-RNXMBX;089;52;CVT; ;   ;  ;;
11432;664W;B0;ASV70L-RETNKX ;4X7;B4;   ; ;   ;  ;;
11433;831W;B0;AXAA54L-RNZMBX;218;52;8AT; ;   ;  ;;
11434;831W;B0;MXAA54L-RNXGBX;089;88;CVT; ;   ;  ;;
11435;664W;B0;ASV71L-RETNHX ;218;A1;   ; ;   ;  ;;
11436;831W;B0;AXAA54L-RNZGBX;089;85;8AT; ;   ;  ;;
11437;664W;B0;ASV70L-RETNKX ;218;B5;   ; ;   ;  ;;
11438;831W;B0;MXAA52L-RNXMBX;089;51;CVT; ;   ;  ;;
11439;664W;B0;ASV70L-RETNKX ;2PS;S1;   ; ;   ;  ;;
11440;831W;B0;MXAA54L-RNXMBX;1F7;52;CVT; ;   ;  ;;
11441;664W;B0;ASV70L-RETNKX ;218;B3;   ; ;   ;  ;;
11442;831W;B0;AXAA54L-RNZMBX;040;52;8AT; ;   ;  ;;
11443;831W;B0;MXAA54L-RNXGBX;218;85;CVT; ;   ;  ;;
11444;664W;B0;ASV70L-RETNKX ;089;B2;   ; ;   ;  ;;
11445;831W;B0;MXAA54L-RNXMBX;8W9;56;CVT; ;   ;  ;;
11446;664W;B0;GSV70L-REZGBX ;218;C6;   ; ;   ;  ;;
11447;831W;B0;MXAA52L-RNFXBX;089;20;6MT; ;   ;  ;;
11448;664W;B0;ASV70L-RETNKX ;218;B5;   ; ;   ;  ;;
11449;831W;B0;AXAA54L-RNZMBX;2PS;53;8AT; ;   ;  ;;
11450;831W;B0;MXAA54L-RNXGBX;089;88;CVT; ;   ;  ;;
11451;664W;B0;ASV70L-RETNKX ;218;BX;   ; ;   ;  ;;
11452;831W;B0;MXAA54L-RNXMBX;089;52;CVT; ;   ;  ;;
11453;664W;B0;ASV70L-RETNKX ;218;B4;   ; ;   ;  ;;
11454;831W;B0;AXAA54L-RNZMBX;4X7;52;8AT; ;   ;  ;;
11455;664W;B0;ASV70L-RETNKX ;089;B5;   ; ;   ;  ;;
11456;831W;B0;MXAA54L-RNXGBX;218;85;CVT; ;   ;  ;;
11457;831W;B0;MXAA54L-RNXMBX;089;54;CVT; ;   ;  ;;
11458;664W;B0;ASV70L-RETNKX ;221;BX;   ; ;   ;  ;;
